"cause","sex","age","n","rt_upper","rt_lower","rt"
"Drug use disorders","Males","75-79 years",114.694,11.2271,0.982435,3.63291
"Drug use disorders","Males","80+ years",272.473,21.7413,1.7424,6.53558
"Drug use disorders","Females","0-6 days",0.260933,1.35998,0.254509,0.649234
"Drug use disorders","Females","7-27 days",0.483322,0.824087,0.0985856,0.401657
"Drug use disorders","Females","28-364 days",3.582,0.478844,0.0471989,0.186211
"Drug use disorders","Females","1-4 years",11.9284,0.361557,0.040184,0.145515
"Drug use disorders","Females","5-9 years",3.21882,0.0727641,0.00943366,0.0321057
"Drug use disorders","Females","10-14 years",8.09549,0.18331,0.0177111,0.0839241
"Drug use disorders","Females","15-19 years",98.1577,2.43476,0.194152,0.959738
"Drug use disorders","Females","20-24 years",265.98,5.61072,0.508216,2.57439
"Drug use disorders","Females","25-29 years",373.2,7.74898,1.02536,3.62001
"Drug use disorders","Females","30-34 years",455.798,10.8162,1.19423,4.61786
"Drug use disorders","Females","35-39 years",602.154,13.1701,1.75398,6.07971
"Drug use disorders","Females","40-44 years",813.173,17.283,1.77008,7.82041
"Drug use disorders","Females","45-49 years",874.38,17.716,1.26188,7.69115
"Drug use disorders","Females","50-54 years",682.559,14.9905,0.960397,6.08534
"Drug use disorders","Females","55-59 years",389.198,9.29914,0.660317,3.89045
"Drug use disorders","Females","60-64 years",220.195,6.24173,0.599038,2.5436
"Drug use disorders","Females","65-69 years",146.667,6.01803,0.531437,2.26753
"Drug use disorders","Females","70-74 years",105.592,6.13361,0.574304,2.1094
"Drug use disorders","Females","75-79 years",103.04,6.20731,0.70231,2.47828
"Drug use disorders","Females","80+ years",290.831,10.5282,1.03444,3.9661
"Aortic aneurysm","Males","15-19 years",9.45463,0.165443,0.042996,0.0881019
"Aortic aneurysm","Males","20-24 years",18.1377,0.313264,0.079576,0.166516
"Aortic aneurysm","Males","25-29 years",27.3797,0.438493,0.142017,0.250652
"Aortic aneurysm","Males","30-34 years",41.8202,0.843039,0.178332,0.409223
"Aortic aneurysm","Males","35-39 years",66.7333,1.317,0.329418,0.66204
"Aortic aneurysm","Males","40-44 years",119.001,2.0187,0.613974,1.13887
"Aortic aneurysm","Males","45-49 years",218.313,3.45966,1.09152,1.95551
"Aortic aneurysm","Males","50-54 years",365.991,5.84018,1.8626,3.38192
"Aortic aneurysm","Males","55-59 years",572.456,9.97939,3.50328,6.06117
"Aortic aneurysm","Males","60-64 years",965.73,20.3155,6.63522,12.0862
"Aortic aneurysm","Males","65-69 years",1254.89,37.9997,12.0305,21.9523
"Aortic aneurysm","Males","70-74 years",1544.26,62.8832,20.2573,36.9903
"Aortic aneurysm","Males","75-79 years",1779.57,93.0911,32.1005,56.3675
"Aortic aneurysm","Males","80+ years",4591.72,180.46,61.5116,110.138
"Aortic aneurysm","Females","15-19 years",2.68575,0.0525227,0.0113357,0.0262599
"Aortic aneurysm","Females","20-24 years",5.09054,0.0983011,0.0180025,0.0492708
"Aortic aneurysm","Females","25-29 years",8.75958,0.168352,0.0365636,0.0849673
"Aortic aneurysm","Females","30-34 years",13.7542,0.313202,0.0514504,0.139348
"Aortic aneurysm","Females","35-39 years",22.8919,0.479205,0.0973805,0.231131
"Aortic aneurysm","Females","40-44 years",40.2844,0.776411,0.155015,0.387422
"Aortic aneurysm","Females","45-49 years",75.4387,1.29887,0.301536,0.663568
"Aortic aneurysm","Females","50-54 years",109.558,1.73728,0.499145,0.976764
"Aortic aneurysm","Females","55-59 years",163.063,2.80723,0.841425,1.62999
"Aortic aneurysm","Females","60-64 years",286.282,5.15513,1.84761,3.30701
"Aortic aneurysm","Females","65-69 years",439.51,11.241,3.67933,6.79501
"Aortic aneurysm","Females","70-74 years",642.359,20.7273,7.54462,12.8323
"Aortic aneurysm","Females","75-79 years",913.106,33.4657,13.3714,21.9616
"Aortic aneurysm","Females","80+ years",3972.31,89.1185,32.6364,54.1708
"Ovarian cancer","Females","15-19 years",14.9138,0.324213,0.0507051,0.14582
"Ovarian cancer","Females","20-24 years",23.4133,0.454016,0.101506,0.226615
"Ovarian cancer","Females","25-29 years",36.1797,0.676059,0.155326,0.350941
"Ovarian cancer","Females","30-34 years",59.4536,0.994123,0.33726,0.602346
"Ovarian cancer","Females","35-39 years",123.364,2.23088,0.684222,1.24556
"Ovarian cancer","Females","40-44 years",305.584,5.07489,1.69909,2.93886
"Ovarian cancer","Females","45-49 years",690.85,10.7493,3.76906,6.07679
"Ovarian cancer","Females","50-54 years",1193.31,17.6822,6.66219,10.639
"Ovarian cancer","Females","55-59 years",1590.19,27.2983,9.66494,15.8957
"Ovarian cancer","Females","60-64 years",2028.6,36.7343,15.4859,23.4335
"Ovarian cancer","Females","65-69 years",1990.48,48.1397,19.7612,30.7737
"Ovarian cancer","Females","70-74 years",1970.62,57.8264,26.2627,39.3668
"Ovarian cancer","Females","75-79 years",1908.39,74.9988,28.3924,45.8998
"Ovarian cancer","Females","80+ years",4425.66,98.6424,31.9877,60.3533
"Musculoskeletal disorders","Males","5-9 years",4.32566,0.0900792,0.0140238,0.0412577
"Musculoskeletal disorders","Males","10-14 years",10.344,0.217906,0.0424875,0.102418
"Musculoskeletal disorders","Males","15-19 years",23.8333,0.488894,0.0926538,0.222088
"Musculoskeletal disorders","Males","20-24 years",37.7226,0.717355,0.159928,0.346319
"Musculoskeletal disorders","Males","25-29 years",41.3919,0.756256,0.163921,0.378928
"Musculoskeletal disorders","Males","30-34 years",49.924,0.929932,0.190375,0.488522
"Musculoskeletal disorders","Males","35-39 years",66.9737,1.39267,0.261725,0.664426
"Musculoskeletal disorders","Males","40-44 years",116.469,2.40117,0.423173,1.11463
"Musculoskeletal disorders","Males","45-49 years",196.899,3.83857,0.726203,1.7637
"Musculoskeletal disorders","Males","50-54 years",289.025,5.40284,1.17781,2.67072
"Musculoskeletal disorders","Males","55-59 years",340.745,7.73318,1.61329,3.60781
"Musculoskeletal disorders","Males","60-64 years",431.413,11.6369,2.39078,5.39919
"Musculoskeletal disorders","Males","65-69 years",468.156,16.651,3.33681,8.18965
"Musculoskeletal disorders","Males","70-74 years",516.176,25.7911,6.09244,12.3642
"Musculoskeletal disorders","Males","75-79 years",604.661,40.236,8.26951,19.1525
"Musculoskeletal disorders","Males","80+ years",1719.99,85.1359,16.6019,41.2559
"Musculoskeletal disorders","Females","5-9 years",6.73623,0.133049,0.0284638,0.0671897
"Musculoskeletal disorders","Females","10-14 years",20.3538,0.45265,0.0814195,0.211004
"Musculoskeletal disorders","Females","15-19 years",48.6991,1.11865,0.169525,0.476156
"Musculoskeletal disorders","Females","20-24 years",93.4639,2.07144,0.325661,0.904627
"Musculoskeletal disorders","Females","25-29 years",118.955,2.6393,0.39794,1.15385
"Musculoskeletal disorders","Females","30-34 years",136.114,3.13425,0.507091,1.37902
"Musculoskeletal disorders","Females","35-39 years",184.994,4.58246,0.683364,1.86781
"Musculoskeletal disorders","Females","40-44 years",265.132,5.32663,1.1233,2.54982
"Musculoskeletal disorders","Females","45-49 years",411.084,8.42468,1.49095,3.61594
"Musculoskeletal disorders","Females","50-54 years",506.251,9.96408,1.95401,4.51348
"Musculoskeletal disorders","Females","55-59 years",631.385,12.6061,3.06487,6.31136
"Musculoskeletal disorders","Females","60-64 years",812.123,19.8275,4.25147,9.38131
"Musculoskeletal disorders","Females","65-69 years",874.234,27.5025,6.88568,13.516
"Musculoskeletal disorders","Females","70-74 years",986.303,41.4254,9.44681,19.7033
"Musculoskeletal disorders","Females","75-79 years",1256.57,60.4968,14.6682,30.2225
"Musculoskeletal disorders","Females","80+ years",5030.71,127.571,30.0956,68.6044
"Neonatal disorders","Males","0-6 days",5944.61,15335.2,11581.3,14103.1
"Neonatal disorders","Males","7-27 days",1094.57,1061.46,682.942,867.639
"Neonatal disorders","Males","28-364 days",1715,142.885,43.104,85.0657
"Neonatal disorders","Males","1-4 years",76.2016,1.49155,0.415253,0.887579
"Neonatal disorders","Females","0-6 days",4710.85,13680.9,8849.09,11721.2
"Neonatal disorders","Females","7-27 days",839.369,923.691,523.918,697.544
"Neonatal disorders","Females","28-364 days",1123.66,109.774,28.4917,58.4137
"Neonatal disorders","Females","1-4 years",53.7957,1.19553,0.319592,0.656253
"Other neurological disorders","Males","28-364 days",109.312,11.0869,2.27192,5.42199
"Other neurological disorders","Males","1-4 years",58.1978,1.51234,0.266275,0.677874
"Other neurological disorders","Males","5-9 years",27.323,0.532468,0.110533,0.260604
"Other neurological disorders","Males","10-14 years",49.9755,0.957497,0.245731,0.494817
"Other neurological disorders","Males","15-19 years",153.33,3.05336,0.633526,1.42879
"Other neurological disorders","Males","20-24 years",148.064,2.69081,0.671633,1.35933
"Other neurological disorders","Males","25-29 years",102.428,1.82213,0.474238,0.937696
"Other neurological disorders","Males","30-34 years",92.5392,1.72041,0.455209,0.905525
"Other neurological disorders","Males","35-39 years",129.137,2.31333,0.633013,1.28113
"Other neurological disorders","Males","40-44 years",219.839,3.76046,1.09842,2.10391
"Other neurological disorders","Males","45-49 years",369.208,5.94503,1.77137,3.30713
"Other neurological disorders","Males","50-54 years",539.078,8.62807,2.75912,4.98131
"Other neurological disorders","Males","55-59 years",696.556,12.5229,4.30142,7.37515
"Other neurological disorders","Males","60-64 years",905.25,19.7949,6.16542,11.3293
"Other neurological disorders","Males","65-69 years",917.303,28.7701,9.02781,16.0468
"Other neurological disorders","Males","70-74 years",966.159,40.5911,12.6883,23.1428
"Other neurological disorders","Males","75-79 years",962.629,53.4554,15.3751,30.4911
"Other neurological disorders","Males","80+ years",1687.83,77.5038,18.3745,40.4846
"Other neurological disorders","Females","28-364 days",85.1656,10.457,1.55602,4.42736
"Other neurological disorders","Females","1-4 years",57.5137,1.54862,0.272261,0.701609
"Other neurological disorders","Females","5-9 years",25.0475,0.56747,0.085671,0.249833
"Other neurological disorders","Females","10-14 years",26.8156,0.600261,0.101385,0.277991
"Other neurological disorders","Females","15-19 years",31.0801,0.625471,0.122523,0.303887
"Other neurological disorders","Females","20-24 years",35.8995,0.688889,0.147341,0.347468
"Other neurological disorders","Females","25-29 years",38.0353,0.747198,0.156211,0.36894
"Other neurological disorders","Females","30-34 years",54.9629,1.14007,0.231627,0.556849
"Other neurological disorders","Females","35-39 years",79.6729,1.51528,0.353088,0.804426
"Other neurological disorders","Females","40-44 years",143.25,2.65605,0.605555,1.37766
"Other neurological disorders","Females","45-49 years",265.027,4.48391,1.1257,2.33121
"Other neurological disorders","Females","50-54 years",413.388,7.0496,1.65176,3.68555
"Other neurological disorders","Females","55-59 years",561.99,10.4647,2.74344,5.61769
"Other neurological disorders","Females","60-64 years",751.863,15.7811,4.02746,8.6852
"Other neurological disorders","Females","65-69 years",816.669,22.2069,5.88602,12.6261
"Other neurological disorders","Females","70-74 years",859.844,30.8765,7.74766,17.177
"Other neurological disorders","Females","75-79 years",912.422,39.9387,9.31306,21.9452
"Other neurological disorders","Females","80+ years",2000.7,52.2178,10.425,27.2838
"Bladder cancer","Males","15-19 years",0.819726,0.0157897,0.00308757,0.00763852
"Bladder cancer","Males","20-24 years",1.48468,0.0268338,0.00549367,0.0136303
"Bladder cancer","Males","25-29 years",2.72235,0.0476591,0.0111958,0.0249222
"Bladder cancer","Males","30-34 years",6.7082,0.141595,0.0270311,0.0656418
"Bladder cancer","Males","35-39 years",14.8207,0.282434,0.0671022,0.147031
"Bladder cancer","Males","40-44 years",40.9176,0.722943,0.193473,0.39159
"Bladder cancer","Males","45-49 years",118.481,1.82141,0.563586,1.06128
"Bladder cancer","Males","50-54 years",275.329,4.02358,1.46357,2.54416
"Bladder cancer","Males","55-59 years",481.139,7.95688,2.94008,5.0943
"Bladder cancer","Males","60-64 years",791.985,14.4099,5.77989,9.91179
"Bladder cancer","Males","65-69 years",1026.03,25.3082,10.2272,17.9488
"Bladder cancer","Males","70-74 years",1231.54,39.8114,17.6233,29.4996
"Bladder cancer","Males","75-79 years",1588.35,68.8251,28.2439,50.3107
"Bladder cancer","Males","80+ years",4623.34,155.259,69.7953,110.896
"Bladder cancer","Females","15-19 years",0.352598,0.00737422,0.00129172,0.00344753
"Bladder cancer","Females","20-24 years",0.823853,0.0214368,0.00194755,0.00797399
"Bladder cancer","Females","25-29 years",1.82433,0.0425468,0.00534107,0.0176959
"Bladder cancer","Females","30-34 years",3.94997,0.103231,0.00989578,0.0400185
"Bladder cancer","Females","35-39 years",10.9459,0.258651,0.0357412,0.110516
"Bladder cancer","Females","40-44 years",25.5525,0.543974,0.0870986,0.245742
"Bladder cancer","Females","45-49 years",61.8022,0.970526,0.256077,0.54362
"Bladder cancer","Females","50-54 years",106.916,1.66455,0.487554,0.953206
"Bladder cancer","Females","55-59 years",174.824,2.92061,0.948786,1.74756
"Bladder cancer","Females","60-64 years",287.975,5.09214,1.99945,3.32657
"Bladder cancer","Females","65-69 years",366.238,8.51425,3.56395,5.6622
"Bladder cancer","Females","70-74 years",478.707,13.9192,5.98908,9.56309
"Bladder cancer","Females","75-79 years",642.286,22.7829,10.0616,15.448
"Bladder cancer","Females","80+ years",2564,49.9217,22.9476,34.9656
"Stomach cancer","Males","15-19 years",2.70252,0.0562993,0.00984338,0.0251831
"Stomach cancer","Males","20-24 years",9.34943,0.189116,0.0314976,0.085834
"Stomach cancer","Males","25-29 years",20.9507,0.37612,0.0821331,0.191797
"Stomach cancer","Males","30-34 years",45.0175,0.781942,0.208242,0.44051
"Stomach cancer","Males","35-39 years",81.5674,1.38091,0.385633,0.809206
"Stomach cancer","Males","40-44 years",155.293,2.4053,0.813618,1.48618
"Stomach cancer","Males","45-49 years",314.493,4.64976,1.7048,2.81704
"Stomach cancer","Males","50-54 years",527.529,7.59475,3.14439,4.8746
"Stomach cancer","Males","55-59 years",680.345,11.3419,4.66306,7.20351
"Stomach cancer","Males","60-64 years",947.581,18.5623,7.4746,11.8591
"Stomach cancer","Males","65-69 years",1007.46,24.032,10.171,17.624
"Stomach cancer","Males","70-74 years",1058.97,35.6691,14.7905,25.3658
"Stomach cancer","Males","75-79 years",1094.98,48.6736,19.5835,34.6834
"Stomach cancer","Males","80+ years",2330.04,80.888,36.2165,55.8886
"Stomach cancer","Females","15-19 years",1.82498,0.044337,0.00483396,0.0178438
"Stomach cancer","Females","20-24 years",8.73751,0.261372,0.0205193,0.0845694
"Stomach cancer","Females","25-29 years",22.8113,0.512097,0.0785754,0.221268
"Stomach cancer","Females","30-34 years",43.2098,0.859022,0.189898,0.437774
"Stomach cancer","Females","35-39 years",72.5437,1.25179,0.319229,0.732445
"Stomach cancer","Females","40-44 years",127.197,2.0834,0.556577,1.22328
"Stomach cancer","Females","45-49 years",210.847,3.01947,0.879299,1.85463
"Stomach cancer","Females","50-54 years",301.526,4.61375,1.4175,2.68825
"Stomach cancer","Females","55-59 years",371.575,6.10996,2.17866,3.71429
"Stomach cancer","Females","60-64 years",477.347,9.33633,3.15358,5.51412
"Stomach cancer","Females","65-69 years",534.2,13.7004,4.68322,8.25897
"Stomach cancer","Females","70-74 years",632.101,21.1722,7.12746,12.6274
"Stomach cancer","Females","75-79 years",776.222,32.2834,11.2519,18.6693
"Stomach cancer","Females","80+ years",2633.67,68.0543,21.1228,35.9157
"Esophageal cancer","Males","15-19 years",0.235939,0.00693216,0.000298355,0.00219857
"Esophageal cancer","Males","20-24 years",2.02075,0.036931,0.00685657,0.0185518
"Esophageal cancer","Males","25-29 years",6.83368,0.147896,0.022762,0.06256
"Esophageal cancer","Males","30-34 years",17.3834,0.35472,0.0651866,0.170102
"Esophageal cancer","Males","35-39 years",51.67,1.13026,0.19695,0.512603
"Esophageal cancer","Males","40-44 years",154.699,2.64863,0.757415,1.4805
"Esophageal cancer","Males","45-49 years",438.992,6.39728,2.1228,3.93221
"Esophageal cancer","Males","50-54 years",829.781,12.5929,4.54398,7.66755
"Esophageal cancer","Males","55-59 years",1273.33,20.6881,7.47145,13.482
"Esophageal cancer","Males","60-64 years",1693.08,33.8729,11.3412,21.1891
"Esophageal cancer","Males","65-69 years",1612.95,42.5659,15.2841,28.216
"Esophageal cancer","Males","70-74 years",1418.86,50.1638,18.767,33.9865
"Esophageal cancer","Males","75-79 years",1318.89,64.5968,20.3918,41.7755
"Esophageal cancer","Males","80+ years",2011.24,73.6927,27.0833,48.2419
"Esophageal cancer","Females","15-19 years",0.143498,0.00777133,6.01862e-05,0.00140306
"Esophageal cancer","Females","20-24 years",0.195497,0.00746024,0.000191231,0.0018922
"Esophageal cancer","Females","25-29 years",0.816428,0.0231516,0.00139671,0.00791929
"Esophageal cancer","Females","30-34 years",1.48827,0.0500154,0.00272357,0.0150783
"Esophageal cancer","Females","35-39 years",7.55363,0.20351,0.0216112,0.076266
"Esophageal cancer","Females","40-44 years",32.5543,1.05282,0.0608589,0.31308
"Esophageal cancer","Females","45-49 years",93.3532,2.08563,0.24051,0.821146
"Esophageal cancer","Females","50-54 years",177.686,3.28713,0.646825,1.58415
"Esophageal cancer","Females","55-59 years",275.015,5.78364,1.1894,2.74907
"Esophageal cancer","Females","60-64 years",380.16,8.48945,2.05321,4.39145
"Esophageal cancer","Females","65-69 years",394.984,11.9429,3.03006,6.10662
"Esophageal cancer","Females","70-74 years",425.409,14.2993,4.26736,8.49835
"Esophageal cancer","Females","75-79 years",436.388,17.5445,5.4581,10.4958
"Esophageal cancer","Females","80+ years",1178.76,27.5763,8.47747,16.0749
"Assault by firearm","Males","0-6 days",0.762262,3.22282,0.805047,1.80841
"Assault by firearm","Males","7-27 days",0.349666,0.511434,0.121718,0.277172
"Assault by firearm","Males","28-364 days",10.8791,0.955189,0.166574,0.539613
"Assault by firearm","Males","1-4 years",51.7909,1.05889,0.210825,0.603247
"Assault by firearm","Males","5-9 years",35.0236,0.675183,0.127346,0.334052
"Assault by firearm","Males","10-14 years",110.602,2.07941,0.459809,1.09509
"Assault by firearm","Males","15-19 years",1515.61,22.6581,7.74665,14.123
"Assault by firearm","Males","20-24 years",2381.18,33.7929,12.1671,21.8608
"Assault by firearm","Males","25-29 years",1943.08,28.214,10.273,17.7882
"Assault by firearm","Males","30-34 years",1373.38,23.3302,6.88434,13.4389
"Assault by firearm","Males","35-39 years",968.844,17.6763,5.0083,9.6116
"Assault by firearm","Males","40-44 years",815.54,14.8529,3.64473,7.8049
"Assault by firearm","Males","45-49 years",724.491,15.3908,2.87806,6.48953
"Assault by firearm","Males","50-54 years",554.986,11.307,2.14213,5.12831
"Assault by firearm","Males","55-59 years",356.951,9.67492,1.57374,3.77941
"Assault by firearm","Males","60-64 years",229.829,6.5472,1.30177,2.87634
"Assault by firearm","Males","65-69 years",140.083,5.83147,1.018,2.45054
"Assault by firearm","Males","70-74 years",92.7769,5.04718,0.914206,2.22232
"Assault by firearm","Males","75-79 years",61.5373,4.36181,0.72419,1.94918
"Assault by firearm","Males","80+ years",73.2209,4.18282,0.728942,1.75629
"Assault by firearm","Females","0-6 days",0.405507,2.2962,0.331581,1.00895
"Assault by firearm","Females","7-27 days",0.202177,0.412937,0.0518924,0.168016
"Assault by firearm","Females","28-364 days",5.96893,0.768315,0.0909273,0.310296
"Assault by firearm","Females","1-4 years",38.3191,1.09002,0.1415,0.467454
"Assault by firearm","Females","5-9 years",27.8758,0.69862,0.0794778,0.278044
"Assault by firearm","Females","10-14 years",40.7657,0.993875,0.136949,0.422609
"Assault by firearm","Females","15-19 years",206.468,4.09152,0.782602,2.01874
"Assault by firearm","Females","20-24 years",299.838,5.58405,1.16513,2.9021
"Assault by firearm","Females","25-29 years",274.275,5.87722,1.05009,2.66045
"Assault by firearm","Females","30-34 years",237,5.40697,0.924261,2.40113
"Assault by firearm","Females","35-39 years",226.095,5.10096,0.87817,2.28279
"Assault by firearm","Females","40-44 years",227.65,4.60967,0.830222,2.18934
"Assault by firearm","Females","45-49 years",206.918,4.20318,0.659006,1.82008
"Assault by firearm","Females","50-54 years",147.609,2.9782,0.541554,1.31601
"Assault by firearm","Females","55-59 years",106.806,2.34079,0.432993,1.06764
"Assault by firearm","Females","60-64 years",84.2967,2.14288,0.363132,0.97376
"Assault by firearm","Females","65-69 years",59.2261,2.03753,0.319222,0.915661
"Assault by firearm","Females","70-74 years",44.5313,2.03606,0.330383,0.889597
"Assault by firearm","Females","75-79 years",40.0446,2.17699,0.338502,0.963134
"Assault by firearm","Females","80+ years",85.9362,2.54487,0.371863,1.17192
"Congenital anomalies","Males","0-6 days",1435.22,5499.86,2385.27,3404.94
"Congenital anomalies","Males","7-27 days",420.836,500.069,236.449,333.587
"Congenital anomalies","Males","28-364 days",693.103,49.1311,21.2127,34.3786
"Congenital anomalies","Males","1-4 years",310.85,6.74421,2.03489,3.62071
"Congenital anomalies","Males","5-9 years",94.5423,1.36961,0.532399,0.901735
"Congenital anomalies","Males","10-14 years",88.492,1.36225,0.488105,0.876175
"Congenital anomalies","Males","15-19 years",145.22,2.13271,0.794763,1.35322
"Congenital anomalies","Males","20-24 years",152.912,2.34729,0.828854,1.40384
"Congenital anomalies","Males","25-29 years",139.165,2.09464,0.705698,1.274
"Congenital anomalies","Males","30-34 years",117.428,2.0754,0.581793,1.14907
"Congenital anomalies","Males","35-39 years",125.189,2.25195,0.566563,1.24196
"Congenital anomalies","Males","40-44 years",153.216,2.72473,0.647334,1.46631
"Congenital anomalies","Males","45-49 years",206.271,3.68695,0.759606,1.84765
"Congenital anomalies","Males","50-54 years",229.284,3.83478,0.9163,2.11868
"Congenital anomalies","Males","55-59 years",240.819,4.5456,1.06226,2.5498
"Congenital anomalies","Males","60-64 years",252.803,5.40864,1.23149,3.16387
"Congenital anomalies","Males","65-69 years",185.305,5.28455,1.52835,3.24161
"Congenital anomalies","Males","70-74 years",176.024,6.89667,2.03577,4.21638
"Congenital anomalies","Males","75-79 years",215.179,10.8082,3.39915,6.81575
"Congenital anomalies","Males","80+ years",821.534,30.2708,9.47344,19.7054
"Congenital anomalies","Females","0-6 days",1195.24,4798.56,2136.65,2973.89
"Congenital anomalies","Females","7-27 days",389.769,482.293,236.095,323.911
"Congenital anomalies","Females","28-364 days",660.693,47.3993,23.0911,34.3463
"Congenital anomalies","Females","1-4 years",289.812,6.31368,2.25488,3.53541
"Congenital anomalies","Females","5-9 years",85.2778,1.32106,0.491491,0.850594
"Congenital anomalies","Females","10-14 years",74.0138,1.19784,0.446376,0.767284
"Congenital anomalies","Females","15-19 years",95.8203,1.57968,0.551593,0.936885
"Congenital anomalies","Females","20-24 years",105.685,1.72878,0.565278,1.02292
"Congenital anomalies","Females","25-29 years",105.05,1.7699,0.515688,1.01898
"Congenital anomalies","Females","30-34 years",88.6689,1.65971,0.436347,0.898337
"Congenital anomalies","Females","35-39 years",104.931,1.98157,0.499223,1.05945
"Congenital anomalies","Females","40-44 years",127.904,2.365,0.661547,1.23008
"Congenital anomalies","Females","45-49 years",173.935,2.927,0.783805,1.52996
"Congenital anomalies","Females","50-54 years",209.949,3.52937,0.896871,1.8718
"Congenital anomalies","Females","55-59 years",232.602,3.89838,1.12236,2.3251
"Congenital anomalies","Females","60-64 years",235.18,4.45701,1.34928,2.7167
"Congenital anomalies","Females","65-69 years",195.458,4.76994,1.63655,3.02186
"Congenital anomalies","Females","70-74 years",192.899,6.26714,2.30933,3.85353
"Congenital anomalies","Females","75-79 years",244.011,9.18813,3.09854,5.86883
"Congenital anomalies","Females","80+ years",1426.3,30.4225,9.22982,19.4506
"HIV/AIDS","Males","28-364 days",6.14169,0.423871,0.207402,0.304634
"HIV/AIDS","Males","1-4 years",32.0581,0.522852,0.255833,0.373406
"HIV/AIDS","Males","5-9 years",6.27157,0.0952934,0.0336907,0.0598176
"HIV/AIDS","Males","10-14 years",7.48231,0.120879,0.0432076,0.0740837
"HIV/AIDS","Males","15-19 years",17.885,0.28869,0.094248,0.16666
"HIV/AIDS","Males","20-24 years",98.7731,1.49815,0.489638,0.906803
"HIV/AIDS","Males","25-29 years",287.2,4.36657,1.43795,2.62922
"HIV/AIDS","Males","30-34 years",482.489,8.15586,2.37257,4.7213
"HIV/AIDS","Males","35-39 years",914.812,14.0486,5.32478,9.07557
"HIV/AIDS","Males","40-44 years",1461.3,21.2023,8.52586,13.985
"HIV/AIDS","Males","45-49 years",1691.76,22.1645,9.7045,15.1538
"HIV/AIDS","Males","50-54 years",1524.13,20.3947,9.45517,14.0837
"HIV/AIDS","Males","55-59 years",1011.48,15.8888,7.02314,10.7096
"HIV/AIDS","Males","60-64 years",633.132,11.4086,5.31007,7.92372
"HIV/AIDS","Males","65-69 years",344.54,8.89053,3.93364,6.02717
"HIV/AIDS","Males","70-74 years",199.554,6.77054,3.22488,4.77999
"HIV/AIDS","Females","28-364 days",4.71782,0.355325,0.163823,0.245257
"HIV/AIDS","Females","1-4 years",25.0183,0.437032,0.210068,0.305198
"HIV/AIDS","Females","5-9 years",4.93355,0.0810607,0.0271105,0.0492091
"HIV/AIDS","Females","10-14 years",6.46389,0.115246,0.0336734,0.0670097
"HIV/AIDS","Females","15-19 years",22.429,0.363714,0.119881,0.2193
"HIV/AIDS","Females","20-24 years",65.5788,1.06628,0.331094,0.634731
"HIV/AIDS","Females","25-29 years",159.834,2.63793,0.853621,1.55038
"HIV/AIDS","Females","30-34 years",281.102,4.72878,1.5708,2.84795
"HIV/AIDS","Females","35-39 years",424.91,6.61604,2.58632,4.29015
"HIV/AIDS","Females","40-44 years",568.092,8.25357,3.36975,5.46343
"HIV/AIDS","Females","45-49 years",601.36,7.85983,3.38605,5.28963
"HIV/AIDS","Females","50-54 years",517.176,6.79936,3.12102,4.61087
"HIV/AIDS","Females","55-59 years",294.122,4.52567,1.84792,2.94006
"HIV/AIDS","Females","60-64 years",195.197,3.40653,1.40871,2.25484
"HIV/AIDS","Females","65-69 years",125.47,2.91145,1.18326,1.93982
"HIV/AIDS","Females","70-74 years",85.593,2.57643,1.08513,1.70988
"Poisonings","Males","0-6 days",0.652686,3.11972,0.610635,1.54845
"Poisonings","Males","7-27 days",0.581203,0.95877,0.17833,0.460705
"Poisonings","Males","28-364 days",5.41758,0.558615,0.108783,0.268717
"Poisonings","Males","1-4 years",16.9305,0.390682,0.0856943,0.197202
"Poisonings","Males","5-9 years",5.34961,0.099666,0.0229726,0.0510241
"Poisonings","Males","10-14 years",13.5163,0.260698,0.051661,0.133827
"Poisonings","Males","15-19 years",205.139,4.17541,0.549816,1.91157
"Poisonings","Males","20-24 years",582.85,11.8614,1.22589,5.35095
"Poisonings","Males","25-29 years",757.912,14.1738,1.47136,6.93842
"Poisonings","Males","30-34 years",676.172,12.7847,1.52947,6.61655
"Poisonings","Males","35-39 years",716.527,13.6683,1.61109,7.10844
"Poisonings","Males","40-44 years",828.366,16.5912,1.70458,7.92764
"Poisonings","Males","45-49 years",896.549,16.9311,1.57754,8.03072
"Poisonings","Males","50-54 years",741.301,15.3037,1.00845,6.84995
"Poisonings","Males","55-59 years",414.202,9.79107,0.721114,4.38558
"Poisonings","Males","60-64 years",214.811,5.85215,0.579783,2.68838
"Poisonings","Males","65-69 years",107.255,3.56466,0.571604,1.87625
"Poisonings","Males","70-74 years",78.4027,3.70622,0.62822,1.87801
"Poisonings","Males","75-79 years",81.292,5.00005,0.91097,2.57491
"Poisonings","Males","80+ years",192.078,9.51278,1.61533,4.60721
"Poisonings","Females","0-6 days",0.547889,2.50705,0.547265,1.36321
"Poisonings","Females","7-27 days",0.538387,0.870455,0.172802,0.447418
"Poisonings","Females","28-364 days",3.91436,0.401734,0.0836128,0.203489
"Poisonings","Females","1-4 years",10.4535,0.25075,0.0521905,0.127522
"Poisonings","Females","5-9 years",6.16891,0.133895,0.0242285,0.0615311
"Poisonings","Females","10-14 years",10.6014,0.224565,0.0342069,0.109902
"Poisonings","Females","15-19 years",81.1397,1.67238,0.23734,0.793344
"Poisonings","Females","20-24 years",219.963,4.46422,0.46699,2.129
