"cause","sex","age","n","rt_upper","rt_lower","rt"
"Chronic respiratory diseases","Males","1-4 years",75.1272,1.47679,0.48071,0.875064
"Chronic respiratory diseases","Males","5-9 years",43.0494,0.662247,0.23015,0.410601
"Chronic respiratory diseases","Males","10-14 years",48.093,0.753128,0.26963,0.476177
"Chronic respiratory diseases","Males","15-19 years",66.155,0.983368,0.360447,0.616458
"Chronic respiratory diseases","Males","20-24 years",85.5689,1.18417,0.482891,0.78558
"Chronic respiratory diseases","Males","25-29 years",94.8871,1.3078,0.536145,0.868659
"Chronic respiratory diseases","Males","30-34 years",104.979,1.55596,0.648592,1.02725
"Chronic respiratory diseases","Males","35-39 years",166.597,2.33886,1.0867,1.65276
"Chronic respiratory diseases","Males","40-44 years",351.952,4.55546,2.39351,3.36826
"Chronic respiratory diseases","Males","45-49 years",850.545,9.93852,5.67164,7.61865
"Chronic respiratory diseases","Males","50-54 years",1840.47,21.4581,13.2189,17.0068
"Chronic respiratory diseases","Males","55-59 years",3154.65,40.4864,26.8589,33.4015
"Chronic respiratory diseases","Males","60-64 years",5857.14,86.168,61.6354,73.3028
"Chronic respiratory diseases","Males","65-69 years",8319.3,169.533,123.906,145.533
"Chronic respiratory diseases","Males","70-74 years",11143.5,305.216,229.673,266.924
"Chronic respiratory diseases","Males","75-79 years",14272.2,516.585,391.426,452.069
"Chronic respiratory diseases","Males","80+ years",41784.4,1170.78,834.38,1002.25
"Chronic respiratory diseases","Females","0-6 days",3.22067,13.3649,4.39648,8.01341
"Chronic respiratory diseases","Females","7-27 days",4.09544,5.83566,1.85584,3.40345
"Chronic respiratory diseases","Females","28-364 days",71.7678,6.20031,1.89955,3.73087
"Chronic respiratory diseases","Females","1-4 years",51.6193,1.07027,0.330378,0.629703
"Chronic respiratory diseases","Females","5-9 years",26.1453,0.421758,0.147483,0.260783
"Chronic respiratory diseases","Females","10-14 years",31.2557,0.509743,0.186354,0.324021
"Chronic respiratory diseases","Females","15-19 years",47.2654,0.779535,0.238423,0.462139
"Chronic respiratory diseases","Females","20-24 years",55.7149,0.920279,0.279462,0.539259
"Chronic respiratory diseases","Females","25-29 years",71.2295,1.12106,0.4086,0.690922
"Chronic respiratory diseases","Females","30-34 years",103.273,1.55306,0.656637,1.0463
"Chronic respiratory diseases","Females","35-39 years",169.831,2.57745,1.07029,1.71471
"Chronic respiratory diseases","Females","40-44 years",399.504,5.34852,2.55682,3.8421
"Chronic respiratory diseases","Females","45-49 years",901.565,10.4755,5.69137,7.93027
"Chronic respiratory diseases","Females","50-54 years",1741.68,20.1383,11.4018,15.5279
"Chronic respiratory diseases","Females","55-59 years",2915.37,36.6332,22.7851,29.1422
"Chronic respiratory diseases","Females","60-64 years",5426.47,78.2714,50.1574,62.6842
"Chronic respiratory diseases","Females","65-69 years",7723.02,143.668,98.0678,119.401
"Chronic respiratory diseases","Females","70-74 years",10405.7,245.021,169.297,207.874
"Chronic respiratory diseases","Females","75-79 years",13363.5,382.275,264.253,321.414
"Chronic respiratory diseases","Females","80+ years",52868.3,875.804,572.54,720.971
"Injuries","Males","0-6 days",37.0872,130.402,59.3349,87.9866
"Injuries","Males","7-27 days",47.7579,55.5315,20.5686,37.8565
"Injuries","Males","28-364 days",656.474,48.4806,17.9953,32.5618
"Injuries","Males","1-4 years",1358.88,23.5702,10.8327,15.8279
"Injuries","Males","5-9 years",683.082,8.53302,5.25337,6.51517
"Injuries","Males","10-14 years",1060.15,12.4969,8.89,10.4967
"Injuries","Males","15-19 years",7186.06,71.8928,61.426,66.9625
"Injuries","Males","20-24 years",11127.5,110.889,92.6223,102.157
"Injuries","Males","25-29 years",9148.17,94.4749,69.6829,83.7484
"Injuries","Males","30-34 years",7268.15,82.3363,58.3224,71.121
"Injuries","Males","35-39 years",6919.48,80.4328,53.1896,68.646
"Injuries","Males","40-44 years",7887.1,89.477,56.4496,75.4813
"Injuries","Males","45-49 years",9048.93,95.7789,61.4871,81.0546
"Injuries","Males","50-54 years",8830.18,98.2782,59.1317,81.5947
"Injuries","Males","55-59 years",7189.91,91.7772,55.7473,76.1269
"Injuries","Males","60-64 years",6276.89,95.6214,57.9023,78.5561
"Injuries","Males","65-69 years",5064.75,107.276,66.7736,88.5997
"Injuries","Males","70-74 years",4891.59,143.139,86.5494,117.17
"Injuries","Males","75-79 years",5592.22,217.919,130.708,177.133
"Injuries","Males","80+ years",18579.2,565.191,321.028,445.643
"Injuries","Females","0-6 days",36.4108,131.384,60.3218,90.5944
"Injuries","Females","7-27 days",42.5336,54.1885,22.1386,35.3469
"Injuries","Females","28-364 days",501.341,37.8771,16.3927,26.0623
"Injuries","Females","1-4 years",944.73,15.1661,8.53965,11.5247
"Injuries","Females","5-9 years",468.957,5.96115,3.65156,4.67756
"Injuries","Females","10-14 years",533.467,6.63272,4.53394,5.53033
"Injuries","Females","15-19 years",2304.93,25.0558,19.7858,22.5365
"Injuries","Females","20-24 years",2529.77,27.8995,20.9056,24.4854
"Injuries","Females","25-29 years",2235.41,25.7857,18.0364,21.6833
"Injuries","Females","30-34 years",2154.27,26.8327,17.144,21.8257
"Injuries","Females","35-39 years",2524.32,31.6735,19.9439,25.487
"Injuries","Females","40-44 years",3191.34,38.4219,22.4667,30.6916
"Injuries","Females","45-49 years",3757.17,41.8666,23.2507,33.0485
"Injuries","Females","50-54 years",3579.13,41.3223,22.1932,31.9097
"Injuries","Females","55-59 years",3130.43,39.5868,21.6457,31.292
"Injuries","Females","60-64 years",2965.46,42.5475,24.9392,34.2557
"Injuries","Females","65-69 years",2679.36,51.7088,30.5217,41.424
"Injuries","Females","70-74 years",2979.71,75.8759,43.07,59.5253
"Injuries","Females","75-79 years",3930.9,120.274,65.5167,94.5441
"Injuries","Females","80+ years",23299.2,434.229,205.541,317.734
"Ischemic stroke","Males","28-364 days",29.301,3.45446,0.397627,1.45336
"Ischemic stroke","Males","1-4 years",12.8465,0.317146,0.0564698,0.149633
"Ischemic stroke","Males","5-9 years",6.60205,0.139572,0.01933,0.0629697
"Ischemic stroke","Males","10-14 years",5.95178,0.115991,0.0204444,0.0589296
"Ischemic stroke","Males","15-19 years",8.59294,0.152402,0.0351577,0.0800724
